category_id,parent_id,name,description,is_active,level,image
3487,274,Jun  75per,Jun  75per,1,3,
3488,274,Jun  80per,Jun  80per,1,3,
3489,274,Jun  85per,Jun  85per,1,3,
3490,274,Jun  JEANS -85per,Jun  JEANS -85per,1,3,
3491,274,Jun  RB  Halfpp,Jun  RB  Halfpp,1,3,
3492,274,Jun  ROY Halfpp,Jun  ROY Halfpp,1,3,
3493,274,Jun  summertimepp,Jun  summertimepp,1,3,
3494,274,Jun  30per,Jun  30per,1,3,
3495,274,Jun  40per,Jun  40per,1,3,
3496,274,Jun  50per,Jun  50per,1,3,
3497,274,Jun  ALLpp,Jun  ALLpp,1,3,
3498,274,Jun  Accessoriespp,Jun  Accessoriespp,1,3,
3499,274,Jun  Headwearpp,Jun  Headwearpp,1,3,
3500,274,Jun  Hoodiespp,Jun  Hoodiespp,1,3,
3501,274,Jun  Jacketspp,Jun  Jacketspp,1,3,
3502,274,Jun  Pantspp,Jun  Pantspp,1,3,
3503,274,Jun  Sneakerspp,Jun  Sneakerspp,1,3,
3504,274,Jun  T-Shirtsper,Jun  T-Shirtsper,1,3,
3505,274,Jun  30per,Jun  30per,1,3,
3506,274,Jun  40per,Jun  40per,1,3,
3507,274,Jun  50per,Jun  50per,1,3,
3508,274,Jun  ALL salepp,Jun  ALL salepp,1,3,
3509,274,Jun  Accessories salepp,Jun  Accessories salepp,1,3,
3510,274,Jun  Headwear salepp,Jun  Headwear salepp,1,3,
3511,274,Jun  Hoodies salepp,Jun  Hoodies salepp,1,3,
3512,274,Jun  Jackets salepp,Jun  Jackets salepp,1,3,
3513,274,Jun  Pants salepp,Jun  Pants salepp,1,3,
3514,274,Jun  Sneakers salepp,Jun  Sneakers salepp,1,3,
3515,274,Jun  T-Shirts saleper,Jun  T-Shirts saleper,1,3,
3516,274,Jun  Raw Blue Headwearpp,Jun  Raw Blue Headwearpp,1,3,
3517,274,Jun  Raw Blue Shoespp,Jun  Raw Blue Shoespp,1,3,
3518,274,Jun  hoodies from 10pp,Jun  hoodies under 10pp,1,3,
3519,274,Jul  Accessoriespp,Jul  Accessoriespp,1,3,
3520,274,Jul  Headwearpp,Jul  Headwearpp,1,3,
3521,274,Jul  Hoodiespp,Jul  Hoodiespp,1,3,
3522,274,Jul  Jeanspp,Jul  Jeanspp,1,3,
3523,274,Jul  Shortspp,Jul  Shortspp,1,3,
3524,274,Jul  Sneakerspp,Jul  Sneakerspp,1,3,
3525,274,Jul  Sweaterspp,Jul  Sweaterspp,1,3,
3526,274,Jul  Sweatpantspp,Jul  Sweatpantspp,1,3,
3527,274,Jul  T-Shirtsper,Jul  T-Shirtsper,1,3,
3528,274,Jul  ind allpp,Jul  ind allpp,1,3,
3529,274,Jul  40per,Jul  40per,1,3,
1632,2,Styles,,1,2,
3121,1632,Mar Shoes 40per,Mar Shoes 40per,1,3,
1634,1632,Styleguide1,,1,3,
1637,1632,Styleguide2,,1,3,
2051,1632,Styleguide3,,1,3,
3173,2,Test subcategory,,0,2,
1210,1,XMas,,0,1,
