product_id,type,sku,name,ean,description,price,special_price,special_from_date,special_to_date,url_key,image,color,weight,set,size
202929,simple,134067_2__,RB New York Snapback Blue,,RB New York Snapback,9999.0000,,,,rb-new-york-snapback-blue,,19,1.0000,23,
202930,simple,134066_2__,RB New York Snapback Blue,,RB New York Snapback,9999.0000,,,,rb-new-york-snapback-blue-3,,19,1.0000,23,
202931,simple,134065_19__,RB New York Snapback Red,,RB New York Snapback,9999.0000,,,,rb-new-york-snapback-red,,107,1.0000,23,
202933,simple,134063_9__,RB Los Angeles Snapback Yellow,,RB Los Angeles Snapback,9999.0000,,,,rb-los-angeles-snapback-yellow,,117,1.0000,23,
202935,simple,134061_13__,RB Los Angeles Snapback Purple,,RB Los Angeles Snapback,9999.0000,,,,rb-los-angeles-snapback-purple,,113,1.0000,23,
203645,simple,134109_22__,MR.Bigmouth Snapback Black,,MR.Bigmouth Snapback,9999.0000,,,,mr-bigmouth-snapback-black-6,,104,1.0000,23,
203649,simple,134047_8__,RB Chicago Snapback Green,,RB Chicago Snapback,9999.0000,,,,rb-chicago-snapback-green,,118,1.0000,23,
203653,simple,134037_19__,RB Atlanta Snapback Red,,RB Atlanta Snapback,9999.0000,,,,rb-atlanta-snapback-red-3,,107,1.0000,23,
203654,simple,134036_16__,RB Atlanta Snapback Navy,,RB Atlanta Snapback,9999.0000,,,,rb-atlanta-snapback-navy,,110,1.0000,23,
203655,simple,134035_22__,RB Atlanta Snapback Black,,RB Atlanta Snapback,9999.0000,,,,rb-atlanta-snapback-black,,104,1.0000,23,
203656,simple,134034_8__,RB Atlanta Snapback Green,,RB Atlanta Snapback,9999.0000,,,,rb-atlanta-snapback-green,,118,1.0000,23,
203661,simple,134169_7__,I Love Haters Beanie Grey,,I Love Haters Beanie,9999.0000,,,,i-love-haters-beanie-grey,,119,1.0000,23,
208137,simple,134749_22__,Atlanta Cap KB-348 Black,,Atlanta Cap KB-348,9999.0000,,,,atlanta-cap-kb-348-black,,104,1.0000,23,
213144,simple,135335_22__,The Hundreds Mens Caps Hoops Black,,The Hundreds Mens Caps Hoops,9999.0000,,,,the-hundreds-mens-caps-hoops-black,,104,1.0000,23,
213145,simple,135334_22__,The Hundreds Mens Caps Draft Black,,The Hundreds Mens Caps Draft,9999.0000,,,,the-hundreds-mens-caps-draft-black,,104,1.0000,23,
213243,simple,135389_22__,Crooks & Castles Mens Beanie Black/Orange Rolly I1290819 Black,,Crooks & Castles Mens Beanie Black/Orange Rolly I1290819,9999.0000,,,,crooks-castles-mens-beanie-black-orange-rolly-i1290819-black,,104,1.0000,23,
213244,simple,135390_19__,Crooks & Castles Mens Beanie Chain Link Red Red,,Crooks & Castles Mens Beanie Chain Link Red,9999.0000,,,,crooks-castles-mens-beanie-chain-link-red-red,,107,1.0000,23,
213296,simple,135397_22__,Crooks & Castles Mens Caps  New Chain C Black / Grey  Black,,Crooks & Castles Mens Caps  New Chain C Black / Grey ,9999.0000,,,,crooks-castles-mens-caps-new-chain-c-black-grey-black,,104,1.0000,23,
213297,simple,135393_22__,Crooks & Castles Mens Beanie Mayan Black  Black,,Crooks & Castles Mens Beanie Mayan Black ,9999.0000,,,,crooks-castles-mens-beanie-mayan-black-black,,104,1.0000,23,
213298,simple,135392_17__,Crooks & Castles Mens Beanie Collegiate Orange Orange,,Crooks & Castles Mens Beanie Collegiate Orange,9999.0000,,,,crooks-castles-mens-beanie-collegiate-orange-orange,,109,1.0000,23,
213299,simple,135391_4__,Crooks & Castles Mens Beanie Collegiate Camoflage Camo,,Crooks & Castles Mens Beanie Collegiate Camoflage,9999.0000,,,,crooks-castles-mens-beanie-collegiate-camoflage-camo,,18,1.0000,23,
213306,simple,135323_19__, 10 Deep Mens Caps RED Big Cat  Red,, 10 Deep Mens Caps RED Big Cat ,9999.0000,,,,10-deep-mens-caps-red-big-cat-red,,107,1.0000,23,
214797,simple,135457_16__,Lifted R Hat Navy,,Lifted R Hat,9999.0000,,,,lifted-r-hat-navy,,110,1.0000,23,
215166,simple,135543_22__,Chicago Cap CF1660 Black,,Chicago Cap CF1660,9999.0000,,,,chicago-cap-cf1660-black,,104,1.0000,23,
215167,simple,135542_19__,Chicago Cap CF1660 Red,,Chicago Cap CF1660,9999.0000,,,,chicago-cap-cf1660-red,,107,1.0000,23,
215168,simple,135541_22__,New York Cap CF1660 Black,,New York Cap CF1660,9999.0000,,,,new-york-cap-cf1660-black,,104,1.0000,23,
215169,simple,135540_7__,New York Cap CF1660 Grey,,New York Cap CF1660,9999.0000,,,,new-york-cap-cf1660-grey,,119,1.0000,23,
215170,simple,135539_22__,New York Cap CF1660 Black,,New York Cap CF1660,9999.0000,,,,new-york-cap-cf1660-black-3,,104,1.0000,23,
215171,simple,135538_2__,New York Cap CF1660 Blue,,New York Cap CF1660,9999.0000,,,,new-york-cap-cf1660-blue,,19,1.0000,23,
215172,simple,135537_19__,New York Cap CF1660 Red,,New York Cap CF1660,9999.0000,,,,new-york-cap-cf1660-red,,107,1.0000,23,
215173,simple,135535_20__,New York Cap CF1660 Pink,,New York Cap CF1660,9999.0000,,,,new-york-cap-cf1660-pink,,106,1.0000,23,
215174,simple,135534_22__,New York Cap CF1660 Black,,New York Cap CF1660,9999.0000,,,,new-york-cap-cf1660-black-6,,104,1.0000,23,
215175,simple,135533_13__,Los Angeles Cap CF1660 Purple,,Los Angeles Cap CF1660,9999.0000,,,,los-angeles-cap-cf1660-purple,,113,1.0000,23,
215177,simple,135531_20__,Los Angeles Cap CF1660 Pink,,Los Angeles Cap CF1660,9999.0000,,,,los-angeles-cap-cf1660-pink,,106,1.0000,23,
215178,simple,135530_9__,Los Angeles Cap CF1660 Yellow,,Los Angeles Cap CF1660,9999.0000,,,,los-angeles-cap-cf1660-yellow,,117,1.0000,23,
215179,simple,135529_22__,Los Angeles Cap CF1660 Black,,Los Angeles Cap CF1660,9999.0000,,,,los-angeles-cap-cf1660-black,,104,1.0000,23,
215180,simple,135528_19__,Brooklyn Cap CF1650 Red,,Brooklyn Cap CF1650,9999.0000,,,,brooklyn-cap-cf1650-red,,107,1.0000,23,
215181,simple,135527_24__,Brooklyn Cap CF1650 White,,Brooklyn Cap CF1650,9999.0000,,,,brooklyn-cap-cf1650-white,,102,1.0000,23,
215183,simple,135525_22__,Texas Cap CF1650 Black,,Texas Cap CF1650,9999.0000,,,,texas-cap-cf1650-black,,104,1.0000,23,
215184,simple,135524_2__,Texas Cap CF1650 Blue,,Texas Cap CF1650,9999.0000,,,,texas-cap-cf1650-blue,,19,1.0000,23,
215185,simple,135523_19__,Miami Cap CF1650 Red,,Miami Cap CF1650,9999.0000,,,,miami-cap-cf1650-red,,107,1.0000,23,
215186,simple,135522_22__,Miami Cap CF1650 Black,,Miami Cap CF1650,9999.0000,,,,miami-cap-cf1650-black,,104,1.0000,23,
215187,simple,135521_22__,Pittsburgh Cap CF1650 Black,,Pittsburgh Cap CF1650,9999.0000,,,,pittsburgh-cap-cf1650-black,,104,1.0000,23,
215188,simple,135520_9__,Pittsburgh Cap CF1650 Yellow,,Pittsburgh Cap CF1650,9999.0000,,,,pittsburgh-cap-cf1650-yellow,,117,1.0000,23,
215191,simple,135517_19__,Boston Cap CF1650 Red,,Boston Cap CF1650,9999.0000,,,,boston-cap-cf1650-red,,107,1.0000,23,
215192,simple,135516_22__,Boston Cap CF1650 Black,,Boston Cap CF1650,9999.0000,,,,boston-cap-cf1650-black,,104,1.0000,23,
215193,simple,135515_19__,Atlanta Cap CF1650 Red,,Atlanta Cap CF1650,9999.0000,,,,atlanta-cap-cf1650-red,,107,1.0000,23,
215194,simple,135514_22__,Atlanta Cap CF1650 Black,,Atlanta Cap CF1650,9999.0000,,,,atlanta-cap-cf1650-black,,104,1.0000,23,
215195,simple,135513_16__,Atlanta Cap CF1650 Navy,,Atlanta Cap CF1650,9999.0000,,,,atlanta-cap-cf1650-navy,,110,1.0000,23,
215196,simple,135512_14__,Chicago Cap CF1650 Lime green,,Chicago Cap CF1650,9999.0000,,,,chicago-cap-cf1650-lime-green,,112,1.0000,23,
215198,simple,135510_22__,Chicago Cap CF1650 Black,,Chicago Cap CF1650,9999.0000,,,,chicago-cap-cf1650-black,,104,1.0000,23,
215199,simple,135509_22__,New York Cap CF1650 Black,,New York Cap CF1650,9999.0000,,,,new-york-cap-cf1650-black,,104,1.0000,23,
215209,simple,135611_8__,Boston Cap CF1670 Green,,Boston Cap CF1670,9999.0000,,,,boston-cap-cf1670-green,,118,1.0000,23,
215210,simple,135610_22__,Boston Cap CF1670 Black,,Boston Cap CF1670,9999.0000,,,,boston-cap-cf1670-black,,104,1.0000,23,
215211,simple,135608_22__,Boston Cap CF1670 Black,,Boston Cap CF1670,9999.0000,,,,boston-cap-cf1670-black-3,,104,1.0000,23,
215212,simple,135607_19__,Miami Cap CF1670 Red,,Miami Cap CF1670,9999.0000,,,,miami-cap-cf1670-red,,107,1.0000,23,
